coef,0,1,2,3,4,5
manaValue,0.04409084004874766,-0.11689904190056728,0.08410323509425506,0.009168323931404047,0.04381237953852487,-0.06427573671242649
power,-0.06214211907120007,0.22698714699713726,-0.261154222803812,0.23318703342493485,0.11003774955783775,-0.24691558810491485
toughness,0.08544031907345546,0.008999271868531066,0.16187146118678683,-0.2955739732846208,-0.11080367083038159,0.1500665919862076
Advisor,-0.025640448042445935,-0.4568303411513663,0.05102334215584372,0.0625508061711283,-0.5818415035684324,0.9507381444352727
Aetherborn,-0.016082186478840042,-0.3313893872609772,-0.18033298541844348,-0.3694727766662862,1.169772532863058,-0.27249519703848885
Ajani,-0.02470146012753983,-0.003684004588130396,-0.00011447055663938172,-0.00030784616338344416,-0.018985344204951054,0.04779312564064476
Ally,0.03379291958216859,-0.3706046431711252,0.1613839741103825,-0.17503882106948437,0.5658014402492223,-0.21533486970116578
Aminatou,0.0,0.0,0.0,0.0,0.0,0.0
Angel,0.1889149923215483,-0.8160347585231945,-1.1192481217265235,-0.16041318058362294,0.16116211475001171,1.7456189537617108
Angrath,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,-0.01935493479582254,0.6791232017740972,-0.25269291620027173,-0.20369423460738842,-0.37037003940501195,0.1669889232343916
Ape,-0.08175894356682616,0.6792262028756305,-0.37847086388122564,0.508586062670963,-0.2902185149728252,-0.4373639431257387
Arcane,-0.1636337713358333,-0.6370730435579555,0.5327493534309731,0.3681675775220591,-0.1040942914447532,0.0038841753854808297
Archer,-0.058708932743638496,0.6615496550344045,0.1305969900789516,-0.21786715511129556,-0.137376549004785,-0.3781940082536456
Archon,-0.01934669755509443,-0.095390424609074,-0.2608787646817837,-0.17150662673734685,-0.16240615589358867,0.7095286694768801
Arlinn,-0.0008059041151285191,0.005569208025670041,-0.00034799781506014216,-0.0015848200656965444,-0.002633362486365326,-0.00019712354341965547
Artificer,-0.30362428669156166,-0.3191173325590311,0.8115618159426109,0.1894407411232896,-0.2913842954246798,-0.08687664239065344
Ashiok,0.0,0.0,0.0,0.0,0.0,0.0
Assassin,-0.018645268584182317,-0.47329982668979886,0.10876515135915465,-0.21535468515879938,1.4236138795031752,-0.8250792504295069
Assembly-Worker,0.0969333979710169,-0.06357404925864699,-0.019068820025343425,-0.0026469507734345698,-0.0018297505698038844,-0.009813827343785596
Atog,-0.011893491492215398,-0.3977047500161574,-0.08363315159643975,0.49194065675394855,-0.2146757158871625,0.2159664522380241
Aura,-0.36380319633801317,-0.1804352378924142,0.4546394694536132,0.28199589850604795,0.17937578605295243,-0.3717727197822035
Aurochs,-0.007478721983636655,0.6844409415408778,-0.008062234709772288,-0.6429224522983314,-0.010166256384382219,-0.015811276164732962
Avatar,0.2782417300984651,-0.49055415418090237,-0.0037398068186068165,-0.16410925257712697,-0.20002570830104863,0.580187191779233
Azra,-0.012720802689221647,-0.2491467201601422,-0.1786172167187734,0.24381346636747517,0.4422992733358438,-0.24562800013518601
Background,-0.06802201494361415,-0.12139019896580554,0.21813140662263236,-0.3683901356680238,0.2833246303368779,0.056346312617932125
Badger,-0.008994479116154112,0.27761136228527084,-0.04001729555704238,0.017890959683707623,-0.13371832503534647,-0.11277222226042578
Bahamut,-0.0007293242719585009,-1.6960061523431163e-05,-2.3075451200031285e-05,-0.0005935826322805851,-1.9184017382945257e-05,0.0013821264343454947
Barbarian,-0.022890933472901834,0.06503185685957631,-0.3991100360303713,1.3765893142409533,-0.23675472298705844,-0.7828654786102375
Bard,-0.01268354975644559,0.7252615226673332,-0.2607708313213968,0.03670751151057176,-0.23209468741414915,-0.2564199656859062
Basilisk,-0.013661579452422882,0.5114417095150916,-0.046716907508000845,-0.19268573686364424,-0.21217901465270975,-0.04619847103832257
Basri,-6.502113717728829e-05,-1.9071489759301915e-05,-8.896963901892849e-06,-8.734121905855034e-06,-9.519936324347755e-06,0.00011124364906868428
Bat,-0.023555176364248948,-0.2816366764034437,-0.44242244016109333,-0.5948396587803398,1.7235064500866364,-0.3810524983774697
Bear,-0.02808315991336845,1.5888461412271768,-0.5610398629869465,-0.4220486446642398,-0.32743662892810005,-0.2502378447345283
Beast,-0.26004292406966445,0.8750011503433398,-0.09622802316660642,0.24899234781819507,-0.3678434054801575,-0.3998791454451151
Beeble,0.0,0.0,0.0,0.0,0.0,0.0
Beholder,0.0,0.0,0.0,0.0,0.0,0.0
Berserker,-0.01903488066801563,-0.33307630036571295,-0.17123200686864645,0.8642335400246607,-0.20807334437582067,-0.13281700774646374
Bird,0.15441094603385333,-0.47836971542832,0.43273819178351713,-0.1351472194346401,-0.5045757151675304,0.5309435122131276
Boar,-0.1522565451164133,0.3253594988853515,-0.36685949936821466,0.7509414107775619,-0.45937472993900763,-0.0978101352392484
Bolas,0.0,0.0,0.0,0.0,0.0,0.0
Bringer,-0.02140057628616353,-0.35611472497417734,0.23236632372333024,-0.1596648670778478,0.09672058351460144,0.2080932611002543
Brushwagg,-0.000495625788354035,0.06559618154335084,-0.0025047401326808816,-0.05264562576494935,-0.0033787001532508305,-0.006571489704117114
Calix,0.0,0.0,0.0,0.0,0.0,0.0
Camel,-0.025344111312721015,0.03477136208218127,-0.09507843623615835,-0.049752582356376814,-0.2638261836095467,0.3992299514326234
Carrier,-0.0005275283735967996,-0.0029688752103257565,-0.00065571091769282,-0.0016500633992354561,0.006962863714314131,-0.0011606858134633547
Cartouche,-0.0008772674787641111,0.045603145626989444,0.03051409162512596,-0.036409766021370506,0.012992353623791726,-0.051822557375773015
Cat,-0.38903222521000697,0.11665754882861727,-0.8792088509018263,0.2116234396886527,-0.440218525491446,1.3801786130859792
Centaur,-0.07092683291863987,1.110666837305945,-0.3240602152382593,-0.05834223608559701,-0.40936285130502664,-0.24797470175838926
Cephalid,-0.027188980593986698,-0.15302180614950003,0.7048976391375298,-0.14079881969554797,-0.09512015661961525,-0.28876787607888926
Chandra,-0.008953867216369761,-0.00017419938019164617,-0.0012684410761328053,0.011208789767803103,-0.0006598761226515853,-0.00015240597245667794
Chimera,-0.006533814001835842,0.14966621349330383,0.3268332966165496,-0.09615490758633558,-0.16432655263592189,-0.20948423588574328
Citizen,-0.05468723554356363,-0.23448570112660427,-0.056240497689971976,-0.20848496196005178,-0.00823261180100234,0.5621310081211685
Class,-0.007180177073025857,-0.04217379436748813,0.062124335908367474,-0.008488093304418595,-0.004236139740116223,-4.613142331692507e-05
Cleric,0.19834704108408477,-0.6254616761778011,-0.8974031464331162,-0.6897148684725651,0.2643908422521445,1.7498418077472442
Clue,-0.6659636493220625,-0.19896902884254547,0.5286042478063392,-0.014955282533093701,-0.04127542795295016,0.3925591408443161
Cockatrice,-0.0049253157599152275,0.5406897345286126,-0.09914296330476245,-0.09870456871929659,-0.16742362008288142,-0.1704932666617773
Construct,0.8826453691961648,-0.0005222951246104458,-0.30213508478342854,0.43371257498496235,-0.7198355167228242,-0.29386504755025494
Coward,0.0,0.0,0.0,0.0,0.0,0.0
Crab,0.02481054736925582,-0.6974174243434618,1.433954029680172,-0.23836843605680785,-0.01255002939615503,-0.5104286872530104
Crocodile,-0.03202715968146799,0.6466226927656507,-0.04103439120993425,-0.25268814851210275,-0.044760194924702595,-0.27611279843745606
Curse,-0.019673427771402494,-0.02370900723768705,-0.5180377924626992,0.3178762196195568,-0.21854849212832525,0.46209249998056506
Cyclops,-0.05721020814007318,-0.5138391142535781,-0.12831809710209424,1.0334801616931721,-0.23178656933254532,-0.10232617286486702
Dack,0.0,0.0,0.0,0.0,0.0,0.0
Dakkon,0.0,0.0,0.0,0.0,0.0,0.0
Daretti,0.0,0.0,0.0,0.0,0.0,0.0
Dauthi,-0.002728365970579389,-0.024952165836153728,-0.2537192324606693,-0.014642754378745414,0.31609229384139487,-0.020049775195242325
Davriel,0.0,0.0,0.0,0.0,0.0,0.0
Demigod,-0.008263690503433714,-0.026885808081932472,0.045583337835857676,-0.00405921094915577,0.059661384810974154,-0.06603601311230838
Demon,-0.11781547786050521,-0.5771358905107522,-1.0877899522058903,-0.17043586670162614,2.4609901519483084,-0.5078129646696076
Desert,0.15241796104910327,-0.0033517225459822235,-0.004396285449743382,-0.08445041908996731,-0.05969358918391149,-0.0005259447794989234
Devil,-0.03675137400898685,-0.7951733969118778,-0.3116742829985134,1.1111098290991082,0.26028583834264224,-0.2277966135224383
Dihada,0.0,0.0,0.0,0.0,0.0,0.0
Dinosaur,-0.15665501453571617,0.7495446195719522,-1.1643347194661666,0.6118789955961863,-0.9309479362423009,0.8905140550760315
Djinn,-0.0892399231773934,0.05752888581289361,0.9018635539910645,-0.1896372156750943,-0.10622597254931058,-0.5742893284021592
Dog,-0.5885273658611279,-0.39985453790278513,-0.1840412742222286,0.390702974787514,-0.12076718282800869,0.9024873860266737
Domri,0.0,0.0,0.0,0.0,0.0,0.0
Dovin,0.0,0.0,0.0,0.0,0.0,0.0
Dragon,-0.2870407665156956,0.0009293336039029052,-0.508589472704611,1.3018258138068093,-0.7899667662213492,0.282841858030939
Drake,-0.3689578218079532,-0.3494405022118713,1.3785460095294224,0.6838837341248185,-0.697191709656698,-0.646839709977724
Dreadnought,0.035364558146801554,-0.024277151960437688,-9.826169895243022e-05,-0.004900737796250074,-0.006017701338855662,-7.070535230622335e-05
Drone,-0.5213903576944666,0.5990902972454274,0.7669315991705131,0.003833799130778839,-0.602808195390741,-0.24565714246151102
Druid,-0.08936296362733394,1.8953131041806444,-0.7055495257304714,-0.7543683830663626,-0.44091980607398706,0.09488757431748304
Dryad,-0.08482237157809311,1.2776818117783717,-0.26943311897293387,-0.3586648417623461,-0.24183923812724306,-0.3229222413377665
Dwarf,-0.18254502702926104,-0.8495173973200935,-0.4979047581769851,0.5936501647816254,-0.7106884401501189,1.6470054578948217
Efreet,-0.05505813736885409,0.018096805520328343,-0.31060389801640653,0.7165480389890687,-0.03692054152350593,-0.3320622676006188
Egg,0.818357565638241,-0.30776901031724724,0.057085721579246455,-0.17723050309024513,-0.1299647911461428,-0.2604789826638734
Elder,-0.008805522519267658,-0.48601711373160195,0.05387530061810695,0.172626614438045,0.2825768839446475,-0.014256162749926115
Eldrazi,3.552200241604834,-0.8176753742105107,-0.6472534218809983,-0.9200224823369596,-0.549138157730611,-0.6181108054458551
Elemental,-0.5475933293539386,-0.08711524343930259,0.6106497169410225,0.9157555357834939,-0.5506351109690073,-0.3410615689622665
Elephant,-0.08692601380361765,0.8695915982281716,-0.7845774303842487,-0.7972244622882574,-0.2629974891974091,1.0621337974453526
Elf,-0.1282477485311021,2.5796712356723437,-1.1340318154405131,-1.4113778906013017,0.4784901298928551,-0.38450391099225745
Elk,-0.03890479009882415,0.8634234611643964,-0.2159376537130611,-0.35529963216394467,-0.5052860947939007,0.2520047096053002
Ellywick,0.0,0.0,0.0,0.0,0.0,0.0
Elminster,0.0,0.0,0.0,0.0,0.0,0.0
Elspeth,-0.006974366186608,-0.0018722611305950758,-0.00013192895134121952,-0.00033408539570628585,-0.03776032230744075,0.04707296397169196
Equipment,-0.43672951028795703,0.07973649992473965,-0.1535259857253269,0.29440209531497213,0.40321730213168466,-0.18710040135811656
Estrid,0.0,0.0,0.0,0.0,0.0,0.0
Eye,-0.004320549207959156,-0.0043063007790747855,-0.053708499577802146,-0.001734098317717033,0.10774462518849376,-0.04367517730594197
Faerie,-0.2143160389777733,0.949685783365834,0.3171524654070929,-0.6440351989985098,0.3595470344033343,-0.7680340451999681
Ferret,-0.0126881278193249,0.43551659967290623,-0.331882339580488,-0.01297830905838835,-0.0064956609461710325,-0.07147216226853542
Fish,-0.01191782778538616,-0.681688369066086,1.8067533089355525,-0.36328431011423623,-0.21265660146395288,-0.5372062005058948
Flagbearer,-0.0009371173269679349,-0.09155034111754502,-0.024580863296400923,-0.04294249877429087,-0.03862735944838924,0.19863817996359026
